date,timestamp,team1,team2,tier,best_of,actual,pred_elo_raw,pred_elo_series,pred_map_composite,pred_map_series,pred_round_series,pred_elo_team1,pred_elo_team2
2026-01-08,1767862800,MANA eSports,ALGO Esports,Q,Bo3,1.0,0.4518662872917569,0.4280224685360728,0.4919729102976029,0.48796039988411466,0.4011954006982533,1500.0,1533.5506292597552
2026-01-08,1767862800,Prestige Esport,BIG Academy,C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-08,1767871800,Bushido Wildcats,Lilmix,Q,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-08,1767871800,Megoshort,XI Esport,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-08,1767886800,Somoniyon (page does not exist),STEPPE NXT (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-08,1767888900,The Continental (page does not exist),OMEGA (Kazakh team),Q,Bo1,0.0,0.5177087444696614,0.5177087444696614,0.5049695034486058,0.5049695034486058,0.5244308457321282,1500.0,1487.6895548682598
2026-01-08,1767891300,EGOISTO (Uzbek team) (page does not exist),Zeus E-Sports (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-08,1767892500,Penguinss (page does not exist),WINNERS Esports (page does not exist),Q,Bo1,0.0,0.5305349371254633,0.5305349371254633,0.5062175203924173,0.5062175203924173,0.5443837718147467,1500.0,1478.7557157689682
2026-01-08,1767895800,OMEGA (Kazakh team),STEPPE NXT (page does not exist),Q,Bo1,1.0,0.48157612158790497,0.48157612158790497,0.4947473436374077,0.4947473436374077,0.42871715004604904,1497.8740918114524,1510.6821126065777
2026-01-08,1767896700,WINNERS Esports (page does not exist),EGOISTO (Uzbek team) (page does not exist),Q,Bo1,0.0,0.4705299034256936,0.4705299034256936,0.4939213904331886,0.4939213904331886,0.45317228677465843,1489.3730331272436,1509.8747162602492
2026-01-08,1767902700,EGOISTO (Uzbek team) (page does not exist),OMEGA (Kazakh team),Q,Bo3,0.0,0.5142784494840376,0.5214118522134188,0.5047211547854159,0.5070815217156295,0.5574364893993514,1518.6052021679695,1508.6808209013723
2026-01-09,1767949200,Misa Esports,Imperial Academy,C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-09,1767949200,Universe,WOPA Esport,Q,Bo3,0.0,0.5153679536879764,0.523044671509759,0.5042784153781119,0.5064174664357658,0.5868905180390962,1500.0,1489.3178873934223
2026-01-09,1767958200,Bebop,Los kogutos,Q,Bo3,1.0,0.4846320463120237,0.4769553284902413,0.49572158462188814,0.4935825335642343,0.413109481960904,1500.0,1510.6821126065777
2026-01-09,1767958200,FUT Academy,Midnight,C,Bo3,1.0,0.4858290150100012,0.47874921405916065,0.4959345720457863,0.4939019924530628,0.44826298292552247,1490.1503532003694,1500.0
2026-01-09,1767979500,LLLLL (page does not exist),DEPO,Q,Bo1,0.0,0.4846951647758757,0.4846951647758757,0.4968966381552818,0.4968966381552818,0.4573132432796703,1500.0,1510.638212103157
2026-01-09,1767980400,THE UNIT (page does not exist),EGOISTO (Uzbek team) (page does not exist),Q,Bo1,0.0,0.47368467701791994,0.47368467701791994,0.49592668477339835,0.49592668477339835,0.4791835662434941,1489.5778109610148,1507.8804821333126
2026-01-09,1767983100,DEPO,EGOISTO (Uzbek team) (page does not exist),Q,Bo3,0.0,0.5059140295979754,0.508870630701768,0.5006715122505995,0.5010072677702909,0.5531666992092805,1521.5410291804985,1517.4313488488258
2026-01-09,1767988800,Eternal Fire,WOPA Esport,B,Bo3,1.0,0.49914102365657087,0.4987115367524311,0.501777551539654,0.5026663160764592,0.5072262996303587,1500.0,1500.5968784848606
